Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Exponent,Mean,Error,StdDev,Ratio,RatioSD
fastpowerOf2,Job-FKXDDB,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,5,5,Default,3,3,Default,16,Default,26,5.384 ns,0.0743 ns,0.0193 ns,1.00,0.00
superPowerOf2,Job-FKXDDB,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,5,5,Default,3,3,Default,16,Default,26,10.271 ns,0.2366 ns,0.0130 ns,1.91,0.01
ipowerOf2,Job-FKXDDB,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,5,5,Default,3,3,Default,16,Default,27,5.757 ns,0.0488 ns,0.0076 ns,0.77,0.00
fastpowerOf2,Job-FKXDDB,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,5,5,Default,3,3,Default,16,Default,27,7.479 ns,0.0057 ns,0.0003 ns,1.00,0.00
superPowerOf2,Job-FKXDDB,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,5,5,Default,3,3,Default,16,Default,27,7.253 ns,0.3678 ns,0.0569 ns,0.97,0.01
ipowerOf2,Job-FKXDDB,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,5,5,Default,3,3,Default,16,Default,28,6.793 ns,0.0957 ns,0.0249 ns,1.22,0.00
fastpowerOf2,Job-FKXDDB,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,5,5,Default,3,3,Default,16,Default,28,5.564 ns,0.0304 ns,0.0017 ns,1.00,0.00
superPowerOf2,Job-FKXDDB,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,5,5,Default,3,3,Default,16,Default,28,5.771 ns,0.0175 ns,0.0010 ns,1.04,0.00
ipowerOf2,Job-FKXDDB,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,5,5,Default,3,3,Default,16,Default,29,6.818 ns,0.0225 ns,0.0012 ns,1.22,0.00
fastpowerOf2,Job-FKXDDB,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,5,5,Default,3,3,Default,16,Default,29,5.577 ns,0.0261 ns,0.0014 ns,1.00,0.00
superPowerOf2,Job-FKXDDB,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,5,5,Default,3,3,Default,16,Default,29,7.723 ns,0.1004 ns,0.0155 ns,1.38,0.00
ipowerOf2,Job-FKXDDB,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,5,5,Default,3,3,Default,16,Default,30,7.109 ns,0.2336 ns,0.0607 ns,1.42,0.02
fastpowerOf2,Job-FKXDDB,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,5,5,Default,3,3,Default,16,Default,30,5.006 ns,0.1576 ns,0.0409 ns,1.00,0.01
superPowerOf2,Job-FKXDDB,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,5,5,Default,3,3,Default,16,Default,30,7.329 ns,0.0497 ns,0.0027 ns,1.46,0.01
